Comment,Designator,Footprint,LCSC
TLE9201SG,"U2,U8",Infineon_PG-DSO-12-9,C112633
10u,"C1,C7",C_1206_3216Metric,C13585
MAX9924,U3,MSOP-10_3x3mm_P0.5mm,C143633
47p,"C12,C13,C16,C17",C_0805_2012Metric,C14857
NGD8201AN,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8",TO-252-2,C151649
10n,"C2,C3,C8,C9",C_0805_2012Metric,C1710
10k,"R1,R12",R_0805_2012Metric,C17414
1k,"R7,R8",R_0805_2012Metric,C17513
4.7k,"R11,R2,R3,R4,R5",R_0805_2012Metric,C17673
1k,"RN1,RN2,RN3,RN4",R_Array_Convex_4x0603,C20197
1k,"R17,R18",R_0805_2012Metric,C21190
VNL5090,"U10,U11,U12,U4,U5,U6,U7,U9",SOT-223,C2680415
1u,"C10,C5,C6",C_0805_2012Metric,C28323
NUP2105L,"D1,D2",SOT-23,C284104
TJA1051T-3,"U13,U15",SOIC-8_3.9x4.9mm_P1.27mm,C38695
1n,C4,C_0805_2012Metric,C46653
100n,"C14,C15,C18,C19",C_0805_2012Metric,C49678
Fuse,F1,Fuseholder_Blade_Mini_Keystone_3568,C5249699
D_Schottky,"D501,D502,D503,D504,D701,D702,D703,D704",D_SMA,C8678
56u,C11,CP_Radial_D8.0mm_P3.50mm,
Jumper_3_Open,JP1,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm,
f042_wideband_module,U1,f042_wideband_module,
Jumper_3_Open,JP8,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm,
Jumper_3_Open,JP3,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm,
Jumper_3_Open,JP6,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm,
DNP,R6,R_0805_2012Metric,
DNP,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
DNP,R14,R_0805_2012Metric,
DNP,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
Motronic_88pin,Motronic_88pin1,88Pin Motronic BMW,
Jumper_3_Open,JP9,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm,
Jumper_3_Open,JP7,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm,
DNP,R13,R_0805_2012Metric,
Jumper_3_Open,JP4,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm,
f042_wideband_module,U14,f042_wideband_module,
Jumper_3_Bridged12,JP2,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,
Polygonus_Plugs,J4,Polygonus-With-USB-SWD,
Jumper_3_Open,JP5,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm,
Jumper_3_Open,JP11,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm,
Pololu_Breakout_DRV8825,A1,Pololu_Breakout-16_15.2x20.3mm,
Jumper_3_Open,JP12,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm,
Jumper_3_Open,JP10,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm,
Jumper_3_Open,JP13,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm,
